2021년 09월 17일 01시 00분 현재 날씨
point, temperature, humidity
강릉,20.3,81
강진군,22.0,83
강화,20.3,76
거제,21.7,86
거창,19.8,86
경주시,19.2,92
고산,23.6,98
고창,21.0,91
고창군,21.3,80
고흥,21.5,80
광양시,21.2,78
광주,20.0,99
구미,20.0,92
군산,21.9,77
금산,20.3,87
김해시,22.2,79
남원,21.6,74
남해,20.3,92
대관령,15.8,92
대구,21.1,91
대전,21.7,84
동두천,19.4,84
동해,19.8,91
목포,21.4,92
문경,18.4,99
밀양,21.8,76
백령도,20.9,65
보령,22.8,69
보성군,22.4,78
보은,19.9,85
봉화,16.2,97
부산,22.7,80
부안,20.8,85
부여,21.2,82
북강릉,19.4,79
북창원,21.9,82
북춘천,19.3,81
산청,19.5,99
상주,19.3,95
서귀포,24.7,99
서산,19.6,97
서울,21.5,70
성산,25.7,91
세종,21.0,77
속초,19.6,84
수원,22.7,68
순창군,22.3,75
순천,19.8,99
안동,20.6,77
양산시,22.2,84
양평,19.3,90
여수,21.2,84
영광군,21.1,93
영덕,21.3,74
영월,17.8,95
영주,18.4,100
영천,19.8,95
완도,22.7,79
울릉도,19.6,86
울산,21.1,96
울진,19.5,100
원주,20.4,73
의령군,20.8,83
의성,20.4,89
이천,19.5,88
인제,16.8,90
인천,22.5,59
임실,20.0,92
장수,19.0,94
장흥,22.6,73
전주,20.8,93
정선군,17.4,91
정읍,20.4,91
제주,23.7,100
제천,17.7,96
진도군,21.0,92
진주,19.7,94
창원,21.7,71
천안,20.9,81
철원,18.4,97
청송군,19.0,93
청주,22.8,68
추풍령,18.6,88
춘천,19.9,82
충주,19.6,87
태백,15.6,96
통영,21.5,91
파주,18.3,87
포항,22.3,84
함양군,19.8,88
합천,19.9,96
해남,21.7,79
홍성,20.1,93
홍천,18.6,81
흑산도,21.8,99
강릉,20.3,81
강진군,22.0,83
강화,20.3,76
거제,21.7,86
거창,19.8,86
경주시,19.2,92
고산,23.6,98
고창,21.0,91
고창군,21.3,80
고흥,21.5,80
광양시,21.2,78
광주,20.0,99
구미,20.0,92
군산,21.9,77
금산,20.3,87
김해시,22.2,79
남원,21.6,74
남해,20.3,92
대관령,15.8,92
대구,21.1,91
대전,21.7,84
동두천,19.4,84
동해,19.8,91
목포,21.4,92
문경,18.4,99
밀양,21.8,76
백령도,20.9,65
보령,22.8,69
보성군,22.4,78
보은,19.9,85
봉화,16.2,97
부산,22.7,80
부안,20.8,85
부여,21.2,82
북강릉,19.4,79
북창원,21.9,82
북춘천,19.3,81
산청,19.5,99
상주,19.3,95
서귀포,24.7,99
서산,19.6,97
서울,21.5,70
성산,25.7,91
세종,21.0,77
속초,19.6,84
수원,22.7,68
순창군,22.3,75
순천,19.8,99
안동,20.6,77
양산시,22.2,84
양평,19.3,90
여수,21.2,84
영광군,21.1,93
영덕,21.3,74
영월,17.8,95
영주,18.4,100
영천,19.8,95
완도,22.7,79
울릉도,19.6,86
울산,21.1,96
울진,19.5,100
원주,20.4,73
의령군,20.8,83
의성,20.4,89
이천,19.5,88
인제,16.8,90
인천,22.5,59
임실,20.0,92
장수,19.0,94
장흥,22.6,73
전주,20.8,93
정선군,17.4,91
정읍,20.4,91
제주,23.7,100
제천,17.7,96
진도군,21.0,92
진주,19.7,94
창원,21.7,71
천안,20.9,81
철원,18.4,97
청송군,19.0,93
청주,22.8,68
추풍령,18.6,88
춘천,19.9,82
충주,19.6,87
태백,15.6,96
통영,21.5,91
파주,18.3,87
포항,22.3,84
함양군,19.8,88
합천,19.9,96
해남,21.7,79
홍성,20.1,93
홍천,18.6,81
흑산도,21.8,99
